1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
2 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
1 6 7 10 13 
1 6 7 10 13 
3 6 7 10 13 
1 6 7 10 13 
1 6 8 10 13 
1 6 7 10 13 
3 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
2 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
2 4 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
2 4 7 10 13 
1 5 7 10 13 
2 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
3 6 7 10 13 
1 6 7 10 13 
1 6 7 10 13 
2 6 7 10 13 
1 6 8 10 13 
1 6 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
3 4 7 10 13 
1 5 7 10 13 
2 4 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
2 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
2 6 7 10 13 
2 6 7 10 13 
2 6 8 10 13 
2 6 7 10 13 
3 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
1 5 8 10 13 
3 5 7 10 13 
1 5 7 10 13 
1 5 8 10 13 
1 5 7 10 13 
1 5 7 10 13 
1 5 8 10 13 
3 5 7 10 13 
1 5 8 10 13 
1 5 7 10 13 
1 5 7 10 13 
1 5 8 10 13 
1 5 9 10 13 
1 5 9 10 13 
1 5 9 10 13 
1 5 9 10 13 
2 5 9 10 13 
1 5 9 11 13 
2 5 9 10 13 
1 5 8 10 13 
1 5 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
3 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
3 6 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
3 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
3 6 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
3 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
3 5 7 10 13 
3 4 7 10 13 
3 4 7 10 13 
3 4 7 10 13 
1 5 7 10 13 
3 4 7 10 13 
3 6 7 10 13 
3 4 7 10 13 
3 4 7 10 13 
2 4 7 10 13 
3 5 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
3 4 7 10 13 
2 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
3 6 7 10 13 
3 6 7 10 13 
3 6 8 10 13 
2 6 7 10 13 
3 4 7 10 13 
3 4 7 10 13 
3 5 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
2 4 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
2 5 7 10 13 
1 4 7 10 13 
1 5 7 10 13 
1 5 8 10 13 
1 5 7 10 13 
1 5 9 10 13 
1 5 9 10 13 
2 5 9 10 13 
1 5 9 10 13 
3 5 9 10 13 
1 5 9 11 13 
1 5 9 10 13 
1 5 8 10 13 
1 5 7 10 13 
1 4 7 10 13 
1 4 7 10 13 
